"","run_id","region","rc","rd","ld","hd","lc","hc","foii","wh1","wh2","wh3","wh4","wl1","wl2","wl3","wl4","dd1","dd2","dr1","dr2","bd1","bd2","bd3","bd4","bd5","bd6","bd7","br","wv1","wv2","wv3","wv4","cfr1","cfr2","cfr3","cfr4","cfr5","cfr6","ve"
"47",47,"hyper",0.195703797,0.580079949,0.645536476,0.93917297,0.181100539,0.807591616,7.8e-07,0.011228671,0.006543183,0.003452899,0.001909527,0.003378792,0.000515831,0.000683689,0.00010881,0.001917946,-9.82e-08,0.001908167,-9.38e-08,0.039403305,0.078518295,0.079478904,0.108851554,0.094825551,0.197862255,0.241607591,0.350907461,0,0.001322422,0.001322422,0.001322422,0.15,0.0818181818181818,0.09,0.0863636363636364,0.0727272727272727,0.111969696969697,0.906
"48",48,"hyper",0.201455532,0.748648482,0.86818935,0.917984672,0.197241647,0.883531359,8.97e-07,0.009622372,0.005894236,0.00971441,0.001475308,0.00277154,0.000971246,0.000926498,0.000173675,0.001931199,-9.02e-08,0.001869079,-9.16e-08,0.033692543,0.093428455,0.088678953,0.149745947,0.061668681,0.167862631,0.182488039,0.395723399,0,0.001322422,0.001322422,0.001322422,0.15,0.0897727272727273,0.102727272727273,0.0918181818181818,0.0763636363636364,0.120909090909091,0.916
"49",49,"hyper",0.218558728,0.708187342,0.890207793,0.974093368,0.169634899,0.806371522,9.13e-07,0.015477132,0.002739487,0.004739725,0.001761207,0.002790029,0.000841876,0.000511337,0.000151499,0.001861268,-1.1e-07,0.001895069,-1.06e-07,0.036711888,0.081234518,0.127583877,0.129604032,0.137593667,0.125363956,0.269974345,0.404883196,0,0.001322422,0.001322422,0.001322422,0.1,0.0943181818181818,0.101818181818182,0.0954545454545455,0.0781818181818182,0.123636363636364,0.92
"50",50,"hyper",0.206473244,0.64826163,0.927778409,0.965251407,0.220555639,0.758475033,5.26e-07,0.013188427,0.008326941,0.007202981,0.001020512,0.003530317,0.000818768,0.00090524,0.000243964,0.001889854,-1.06e-07,0.001943777,-9.28e-08,0.03397759,0.087160693,0.145397513,0.14990288,0.114051866,0.138200407,0.202750622,0.355688032,0,0.001322422,0.001322422,0.001322422,0.095,0.0863636363636364,0.0927272727272727,0.0881818181818182,0.0745454545454545,0.116212121212121,0.912
"51",51,"hyper",0.19682745,0.777074568,0.842849798,0.943740147,0.214535257,0.847153324,9.55e-07,0.005307639,0.009616486,0.009753751,0.001929492,0.002674397,0.000661659,0.000687518,0.000700676,0.0019355,-1.04e-07,0.001867266,-1.02e-07,0.038726868,0.061380632,0.103233724,0.149974684,0.064404039,0.180250595,0.162632278,0.353990427,0,0.001322422,0.001322422,0.001322422,0.105,0.0852272727272727,0.0890909090909091,0.09,0.0854545454545454,0.112121212121212,0.902
"52",52,"hyper",0.201350072,0.646589378,0.941090889,0.999436548,0.205349356,0.893217341,9.77e-07,0.014470583,0.004413906,0.006666448,0.001940361,0.00277357,0.000681749,0.000776987,0.000298192,0.001929893,-1.07e-07,0.00190146,-9.89e-08,0.032513436,0.096131361,0.104455366,0.146323489,0.069632245,0.110729373,0.193243473,0.37071973,0,0.001322422,0.001322422,0.001322422,0.085,0.0875,0.0881818181818182,0.09,0.0736363636363636,0.122424242424242,0.898
"53",53,"hyper",0.204836325,0.764415746,0.887110587,0.944424983,0.226763092,0.739204247,7.33e-07,0.006624119,0.005328987,0.00660007,0.001300096,0.002588886,0.000753444,0.000589671,0.00011761,0.001889897,-9e-08,0.001907173,-9.5e-08,0.030920568,0.043036367,0.141092338,0.135557136,0.132007174,0.184353486,0.19528366,0.354807666,0,0.001322422,0.001322422,0.001322422,0.075,0.0909090909090909,0.09,0.0963636363636364,0.0763636363636364,0.122878787878788,0.906
"54",54,"hyper",0.21346743,0.633698743,0.900390999,0.961268508,0.16638213,0.727657971,8.87e-07,0.013952433,0.004275918,0.005770832,0.001659419,0.002453998,0.000722124,0.000503833,0.000425214,0.001918891,-1.07e-07,0.001902846,-1.01e-07,0.035597541,0.074271161,0.101984162,0.111642294,0.148147576,0.116652717,0.254100496,0.38263643,0,0.001322422,0.001322422,0.001322422,0.105,0.0909090909090909,0.0772727272727273,0.0809090909090909,0.0790909090909091,0.123030303030303,0.902
"55",55,"hyper",0.205363477,0.62992182,0.886905398,0.940419195,0.220625349,0.760680122,3.27e-07,0.018161997,0.009187778,0.008498924,0.001547837,0.003891954,0.000804944,0.000885363,0.000153428,0.001942204,-9.58e-08,0.001947552,-1.04e-07,0.034436539,0.075263635,0.088204332,0.146512107,0.147144207,0.11944733,0.229642193,0.353494508,0,0.001322422,0.001322422,0.001322422,0.115,0.0840909090909091,0.0909090909090909,0.0690909090909091,0.0781818181818182,0.116060606060606,0.898
"56",56,"hyper",0.217395518,0.60355903,0.906184504,0.973957254,0.282057634,0.846343392,7.93e-07,0.019398055,0.003438402,0.007698346,0.001837961,0.002492212,0.000851343,0.000890592,0.000145884,0.001861212,-1.09e-07,0.001910643,-1.04e-07,0.030209215,0.051471653,0.145682893,0.137911575,0.079840123,0.188268388,0.238262453,0.439974243,0,0.001322422,0.001322422,0.001322422,0.11,0.105681818181818,0.09,0.0954545454545455,0.0845454545454545,0.121969696969697,0.884
